feature_idx,activation_count,freq,mean_when_active,max_activation,is_alive
428,13204,0.044399,0.037316,0.135936,True
429,248,0.000834,0.049807,0.073419,True
430,23,7.7e-05,0.005332,0.017208,True
431,0,0.0,0.0,0.0,False
432,280,0.000942,0.181043,0.260046,True
433,1,3e-06,0.014708,0.014708,True
434,0,0.0,0.0,0.0,False
435,2,7e-06,0.020655,0.023247,True
436,13,4.4e-05,0.010718,0.01979,True
437,97,0.000326,0.078641,0.11495,True
438,0,0.0,0.0,0.0,False
439,16,5.4e-05,0.020533,0.024747,True
440,183624,0.617441,0.106198,0.370723,True
441,99,0.000333,0.041344,0.085983,True
442,305,0.001026,0.151761,0.243641,True
443,2,7e-06,0.035963,0.037325,True
444,16,5.4e-05,0.019337,0.038712,True
445,59,0.000198,0.011593,0.018118,True
446,2,7e-06,0.026304,0.026984,True
447,0,0.0,0.0,0.0,False
448,21,7.1e-05,0.026497,0.056766,True
449,1,3e-06,0.007049,0.007049,True
450,50,0.000168,0.044627,0.084805,True
451,0,0.0,0.0,0.0,False
452,1,3e-06,0.013028,0.013028,True
453,2,7e-06,0.020532,0.024656,True
454,98833,0.332329,0.021137,0.105455,True
455,1188,0.003995,0.035536,0.097103,True
456,2,7e-06,0.021098,0.022126,True
457,0,0.0,0.0,0.0,False
458,207,0.000696,0.059095,0.093053,True
459,0,0.0,0.0,0.0,False
460,2,7e-06,0.009381,0.009706,True
461,1078,0.003625,0.043734,0.130583,True
462,10,3.4e-05,0.021015,0.049012,True
463,20730,0.069705,0.167862,0.357561,True
464,266937,0.897584,0.24616,0.629447,True
465,1,3e-06,0.036419,0.036419,True
466,26372,0.088677,0.291271,0.356156,True
467,0,0.0,0.0,0.0,False
468,12587,0.042324,0.171704,0.336738,True
469,3,1e-05,0.035298,0.054528,True
470,2,7e-06,0.008495,0.014286,True
471,6173,0.020757,0.161981,0.215328,True
472,1,3e-06,0.011919,0.011919,True
473,499,0.001678,0.034555,0.088523,True
474,98,0.00033,0.028623,0.07082,True
475,0,0.0,0.0,0.0,False
476,1861,0.006258,0.13967,0.170201,True
477,1,3e-06,0.019934,0.019934,True
478,11,3.7e-05,0.002518,0.006835,True
479,0,0.0,0.0,0.0,False
480,333,0.00112,0.046237,0.118328,True
481,353,0.001187,0.07406,0.10702,True
482,79,0.000266,0.018439,0.025416,True
483,22567,0.075882,0.089169,0.320099,True
484,54,0.000182,0.033056,0.053455,True
485,5,1.7e-05,0.043989,0.064004,True
486,1869,0.006285,0.18016,0.290217,True
487,3,1e-05,0.009347,0.015039,True
488,2,7e-06,0.009289,0.010795,True
489,3,1e-05,0.031969,0.037906,True
490,1754,0.005898,0.196382,0.286516,True
491,2,7e-06,0.003473,0.003473,True
492,0,0.0,0.0,0.0,False
493,0,0.0,0.0,0.0,False
494,2,7e-06,0.020982,0.029969,True
495,95850,0.322299,0.077506,0.341105,True
496,10067,0.033851,0.135534,0.231808,True
497,22794,0.076646,0.207952,0.331092,True
498,244,0.00082,0.019511,0.04006,True
499,2,7e-06,0.031316,0.037618,True
500,207345,0.697204,0.150141,0.65783,True
501,700,0.002354,0.125216,0.449837,True
502,2400,0.00807,0.161959,0.181886,True
503,1,3e-06,0.035037,0.035037,True
504,16,5.4e-05,0.018636,0.024455,True
505,195,0.000656,0.04987,0.095589,True
506,12201,0.041026,0.092421,0.372723,True
507,1,3e-06,0.010274,0.010274,True
508,0,0.0,0.0,0.0,False
509,51863,0.174391,0.016895,0.097619,True
510,0,0.0,0.0,0.0,False
511,94,0.000316,0.028497,0.040253,True
512,1,3e-06,0.034707,0.034707,True
513,0,0.0,0.0,0.0,False
514,2,7e-06,0.01611,0.024404,True
515,5,1.7e-05,0.01083,0.011148,True
516,12,4e-05,0.061537,0.107302,True
517,0,0.0,0.0,0.0,False
518,0,0.0,0.0,0.0,False
519,1,3e-06,0.006721,0.006721,True
520,215,0.000723,0.019707,0.056154,True
521,1,3e-06,0.014943,0.014943,True
522,12,4e-05,0.00791,0.020663,True
523,1,3e-06,0.011716,0.011716,True
524,0,0.0,0.0,0.0,False
525,2,7e-06,0.0177,0.023734,True
526,120,0.000404,0.053524,0.135978,True
527,2,7e-06,0.020687,0.021786,True
528,24,8.1e-05,0.002943,0.010864,True
529,22134,0.074426,0.092547,0.308546,True
530,2,7e-06,0.010775,0.010775,True
531,1,3e-06,0.038301,0.038301,True
532,17,5.7e-05,0.013986,0.036277,True
533,0,0.0,0.0,0.0,False
534,445,0.001496,0.043883,0.110773,True
535,2,7e-06,0.011756,0.013014,True
536,0,0.0,0.0,0.0,False
537,35,0.000118,0.022642,0.030408,True
538,25915,0.08714,0.557071,0.70659,True
539,0,0.0,0.0,0.0,False
540,0,0.0,0.0,0.0,False
541,2,7e-06,0.007635,0.008734,True
542,62,0.000208,0.018779,0.040914,True
543,335,0.001126,0.031908,0.049411,True
544,0,0.0,0.0,0.0,False
545,2,7e-06,0.021267,0.021778,True
546,419,0.001409,0.108726,0.143576,True
547,0,0.0,0.0,0.0,False
548,0,0.0,0.0,0.0,False
549,41,0.000138,0.012198,0.030879,True
550,85,0.000286,0.00443,0.007119,True
551,0,0.0,0.0,0.0,False
552,0,0.0,0.0,0.0,False
553,1,3e-06,0.009279,0.009279,True
554,21929,0.073737,0.081339,0.379667,True
555,620,0.002085,0.042421,0.087412,True
556,0,0.0,0.0,0.0,False
557,31915,0.107315,0.192928,0.396443,True
558,2,7e-06,0.008989,0.008989,True
559,15,5e-05,0.013265,0.042936,True
560,0,0.0,0.0,0.0,False
561,1,3e-06,0.037295,0.037295,True
562,0,0.0,0.0,0.0,False
563,4,1.3e-05,0.009688,0.02535,True
564,7,2.4e-05,0.011935,0.019117,True
565,240,0.000807,0.005988,0.019364,True
566,5,1.7e-05,0.0116,0.017625,True
567,1,3e-06,0.005434,0.005434,True
568,3,1e-05,0.008504,0.008504,True
569,5,1.7e-05,0.012903,0.016771,True
570,130822,0.439893,0.087323,0.229542,True
571,0,0.0,0.0,0.0,False
572,0,0.0,0.0,0.0,False
573,5,1.7e-05,0.011112,0.025254,True
574,0,0.0,0.0,0.0,False
575,1,3e-06,0.020892,0.020892,True
576,0,0.0,0.0,0.0,False
577,1,3e-06,0.007534,0.007534,True
578,4,1.3e-05,0.019811,0.019934,True
579,1741,0.005854,0.112655,0.152969,True
580,50,0.000168,0.034033,0.049611,True
581,132,0.000444,0.094256,0.141481,True
582,1,3e-06,0.024746,0.024746,True
583,191,0.000642,0.039982,0.109039,True
584,62,0.000208,0.034181,0.051875,True
585,1871,0.006291,0.201217,0.260033,True
586,1,3e-06,0.018848,0.018848,True
587,1,3e-06,0.011607,0.011607,True
588,0,0.0,0.0,0.0,False
589,0,0.0,0.0,0.0,False
590,550,0.001849,0.034533,0.085516,True
591,2,7e-06,0.015499,0.016152,True
592,2,7e-06,0.003884,0.003884,True
593,26185,0.088048,0.071732,0.308163,True
594,4,1.3e-05,0.0078,0.010614,True
595,818,0.002751,0.028606,0.083078,True
596,38,0.000128,0.03161,0.048737,True
597,6,2e-05,0.048047,0.07512,True
598,9814,0.033,0.163707,0.239834,True
599,266,0.000894,0.129631,0.174082,True
600,2,7e-06,0.028771,0.031551,True
601,0,0.0,0.0,0.0,False
602,191,0.000642,0.042795,0.086372,True
603,13,4.4e-05,0.0076,0.020121,True
604,2,7e-06,0.027927,0.030784,True
605,1,3e-06,0.007003,0.007003,True
606,1,3e-06,0.016225,0.016225,True
607,2,7e-06,0.014778,0.014778,True
608,0,0.0,0.0,0.0,False
609,0,0.0,0.0,0.0,False
610,0,0.0,0.0,0.0,False
611,9850,0.033121,0.04012,0.097715,True
612,0,0.0,0.0,0.0,False
613,0,0.0,0.0,0.0,False
614,6274,0.021097,0.114251,0.21108,True
615,17,5.7e-05,0.034874,0.052814,True
616,0,0.0,0.0,0.0,False
617,1,3e-06,0.022688,0.022688,True
618,1,3e-06,0.0096,0.0096,True
619,1343,0.004516,0.042016,0.098484,True
620,1152,0.003874,0.040294,0.080701,True
621,11,3.7e-05,0.023934,0.038333,True
622,1,3e-06,0.00799,0.00799,True
623,4697,0.015794,0.074009,0.186327,True
624,611,0.002055,0.039714,0.064517,True
625,3038,0.010215,0.029108,0.057659,True
626,1086,0.003652,0.051283,0.126615,True
627,22371,0.075223,0.086979,0.33101,True
628,0,0.0,0.0,0.0,False
629,111,0.000373,0.042018,0.08638,True
630,13518,0.045455,0.257656,0.338805,True
631,0,0.0,0.0,0.0,False
632,26026,0.087513,0.255275,0.378373,True
633,0,0.0,0.0,0.0,False
634,17,5.7e-05,0.006099,0.016846,True
635,1,3e-06,0.012222,0.012222,True
636,6,2e-05,0.009934,0.028571,True
637,418,0.001406,0.038355,0.078133,True
638,1142,0.00384,0.055714,0.215714,True
639,22641,0.076131,0.074479,0.257567,True
640,1,3e-06,0.021483,0.021483,True
641,4,1.3e-05,0.015942,0.03034,True
642,33447,0.112467,0.066901,0.288756,True
643,107,0.00036,0.052466,0.07704,True
644,339,0.00114,0.033373,0.1601,True
645,382,0.001284,0.047428,0.103869,True
646,18,6.1e-05,0.012242,0.029569,True
647,3,1e-05,0.006333,0.009574,True
648,6,2e-05,0.010869,0.01604,True
649,0,0.0,0.0,0.0,False
650,29,9.8e-05,0.011265,0.024734,True
651,104,0.00035,0.071307,0.139556,True
652,123,0.000414,0.002789,0.016542,True
653,1175,0.003951,0.038296,0.098055,True
654,1435,0.004825,0.034463,0.096309,True
655,764,0.002569,0.09644,0.134621,True
656,504,0.001695,0.026704,0.085917,True
657,123000,0.413591,0.070938,0.26203,True
658,5601,0.018834,0.103832,0.145275,True
659,0,0.0,0.0,0.0,False
660,2,7e-06,0.008468,0.013985,True
661,201,0.000676,0.085747,0.161655,True
662,138,0.000464,0.028929,0.042027,True
663,10,3.4e-05,0.019683,0.086656,True
664,272,0.000915,0.063483,0.104337,True
665,0,0.0,0.0,0.0,False
666,64026,0.215289,0.119629,0.265065,True
667,1,3e-06,0.002948,0.002948,True
668,118346,0.397942,0.13143,0.422863,True
669,1,3e-06,0.031114,0.031114,True
670,103,0.000346,0.013654,0.024809,True
671,122,0.00041,0.03418,0.073379,True
672,628,0.002112,0.171019,0.493585,True
673,0,0.0,0.0,0.0,False
674,3,1e-05,0.003633,0.006044,True
675,6,2e-05,0.094569,0.107814,True
676,5,1.7e-05,0.012591,0.021319,True
677,142,0.000477,0.006369,0.020484,True
678,2,7e-06,0.006363,0.010279,True
679,2,7e-06,0.021746,0.021746,True
680,2,7e-06,0.015913,0.015913,True
681,19,6.4e-05,0.004353,0.007309,True
682,136045,0.457456,0.093624,0.303687,True
683,1205,0.004052,0.226445,0.282479,True
684,0,0.0,0.0,0.0,False
685,0,0.0,0.0,0.0,False
686,3044,0.010236,0.156515,0.175626,True
687,4,1.3e-05,0.009996,0.014219,True
688,4,1.3e-05,0.012191,0.022031,True
689,23002,0.077345,0.241343,0.359181,True
690,0,0.0,0.0,0.0,False
691,0,0.0,0.0,0.0,False
692,1,3e-06,0.034555,0.034555,True
693,0,0.0,0.0,0.0,False
694,815,0.00274,0.029666,0.073894,True
695,0,0.0,0.0,0.0,False
696,1,3e-06,0.003422,0.003422,True
697,1,3e-06,0.046013,0.046013,True
698,0,0.0,0.0,0.0,False
699,0,0.0,0.0,0.0,False
